,Date,Text,Hashtags
16,2022-05-30 22:11:00+00:00,"🚓 #WAVES and 6 Others,  🟢 6 🔴 1

🇰🇷 21.44억원
🇺🇸 $1,835,247
🇯🇵 ¥201,580,561
🇪🇺 €1,553,314
🇨🇳 11,847,854元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #AAVE #ETH #ETC #REP #WAXP https://t.co/zYYYXUNU1t","['WAVES', 'WAVES', 'AAVE', 'ETH', 'ETC', 'REP', 'WAXP']"
17,2022-05-30 22:00:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.44%. It was previously 1.43%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
18,2022-05-30 21:55:00+00:00,"↑ Aave V2 Borrow APY for USDC on Polygon is 2.69%. It was previously 2.68%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
19,2022-05-30 21:40:01+00:00,"↓ Aave V2 Deposit APY for USDC on Polygon is 1.42%. It was previously 1.43%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
20,2022-05-30 21:27:29+00:00,"🚓 #WAVES and 13 Others,  🟢 7 🔴 7

🇰🇷 28.36억원
🇺🇸 $2,427,463
🇯🇵 ¥266,628,560
🇪🇺 €2,054,553
🇨🇳 15,671,037元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #WEMIX #KNC #SAND #MED #AAVE #MTL https://t.co/xw7eCmPkGy","['WAVES', 'WAVES', 'WEMIX', 'KNC', 'SAND', 'MED', 'AAVE', 'MTL']"
21,2022-05-30 21:25:15+00:00,"@magicmirror what are you revealing next? https://t.co/pg2sMUY3qj 😮😜 
#cryptocurrencies #cryptoinvestor #AAVE","['cryptocurrencies', 'cryptoinvestor', 'AAVE']"
22,2022-05-30 21:24:12+00:00,"🚄 #WAVES and 9 Others,  🟢 9 🔴 1

🇰🇷 37.33억원
🇺🇸 $3,194,803
🇯🇵 ¥350,911,903
🇪🇺 €2,704,014
🇨🇳 20,624,773元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #KNC #SC #ADA #AAVE #BTC #ETC #ENJ #TT https://t.co/YrdPYW0pL9","['WAVES', 'WAVES', 'KNC', 'SC', 'ADA', 'AAVE', 'BTC', 'ETC', 'ENJ', 'TT']"
23,2022-05-30 21:22:12+00:00,"Took partial profits on some of the longs from earlier today.
$ETH $AAVE #eth #aave

Enjoy 10% off on trading fees:
https://t.co/8b9vRKnyyT https://t.co/OazHZrhU1H","['eth', 'aave']"
24,2022-05-30 21:20:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.43%. It was previously 1.42%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
25,2022-05-30 21:08:49+00:00,"$AAVE
✅  Increased 3.78% in 1.1 hour(s)
💵 Price - 119.30000000 USDT
⏱️ [30 May] - 21:08:49 UTC
#AAVE #AAVEUSDT #CryptoBOT","['AAVE', 'AAVEUSDT', 'CryptoBOT']"
26,2022-05-30 21:08:44+00:00,"🚄 #WAVES and 8 Others,  🟢 3 🔴 6

🇰🇷 36.39억원
🇺🇸 $3,113,871
🇯🇵 ¥342,022,475
🇪🇺 €2,635,515
🇨🇳 20,102,298元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #웨이브 #AAVE #에이브 #WEMIX #위믹스 https://t.co/jegXwl9kwp","['WAVES', 'WAVES', '웨이브', 'AAVE', '에이브', 'WEMIX', '위믹스']"
27,2022-05-30 21:06:01+00:00,"Aave #STONKS 📈  #AAVE

$AAVE moved up by 24% in last 24 hours, with current price $117.20

Market Cap: $1,624,066,824
24h Volume: $295,739,724","['STONKS', 'AAVE']"
28,2022-05-30 21:00:10+00:00,"🔥 WARM REPORT 🔥

🕓 24h VARIATION: 
#RUNE +23.55% | Price : 3.261$
#AAVE +23.77% | Price : 116.82$
#HNT +29.53% | Price : 9.395$
#WAVES +63.3% | Price : 7.062$","['RUNE', 'AAVE', 'HNT', 'WAVES']"
29,2022-05-30 20:50:08+00:00,"The crypto market is UP🚀
These Alts are looking stronger

$APE #ApeCoin🔥💥
$GMT #GreenMetaverse🔥💥
$AAVE #Aave🔥
$HNT #Helium🔥
$AXS #AxieInfinity🔥

#DYOR","['ApeCoin', 'GreenMetaverse', 'Aave', 'Helium', 'AxieInfinity', 'DYOR']"
30,2022-05-30 20:30:06+00:00,"🔝 Top gainers of the last hour (Out of Top 100) 📈

🥇 #APE $7.2192 📈 4.71069815% 
🥈 #AXS $21.3960 📈 4.34338023% 
🥉 #AAVE $115.9882 📈 2.75654648% 
4️⃣  #XDC $0.0416 📈 2.58134889% 
5️⃣  #CRV $1.3780 📈 2.56550359%

Trade #crypto on FTX https://t.co/mYiDBXeBmw","['APE', 'AXS', 'AAVE', 'XDC', 'CRV', 'crypto']"
31,2022-05-30 20:27:43+00:00,"top gainers of the day

$WAVES +62.68%
$HNT +27.79%
$AAVE +22.46%
$RUNE +21.25%
$ENS +20.92%
$SNX +19.44%
$KNC +18.33%
$RNDR +17.1%
$ACA +15.89%
$AXS +15.8%
$APE +14.34%
$GLMR +13.87%
$AR +13.72%
$GMT +13.24%
#Waves #Helium #Aave #THORChain #EthereumNameService #Synthetix https://t.co/QDNeGhvocv","['Waves', 'Helium', 'Aave', 'THORChain', 'EthereumNameService', 'Synthetix']"
32,2022-05-30 20:25:24+00:00,"Not buying this breakup but buying the next break down.  I see the coins to make profit.  #snx, #ada #avax, #egld, #AAVE","['snx', 'ada', 'avax', 'egld', 'AAVE']"
33,2022-05-30 20:20:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.42%. It was previously 1.41%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
34,2022-05-30 20:09:07+00:00,#AAVE  has made a bullish move after it broke above the resistance channel on heavy volume. This is a good add here. https://t.co/JrC89V5vO6,['AAVE']
35,2022-05-30 20:03:49+00:00,"$AAVE
✅  Increased 3.58% in 3.3 hour(s)
💵 Price - 114.90000000 USDT
⏱️ [30 May] - 20:03:49 UTC
#AAVE #AAVEUSDT #CryptoBOT","['AAVE', 'AAVEUSDT', 'CryptoBOT']"
36,2022-05-30 20:03:02+00:00,"Strongest Movers in #USDT
 1 #TerraLunaClassic $lunc 🚀
 2 #Helium $hnt 🔥
 3 #THORChain $rune 
 4 #Aave $aave 

Strengthening #alts
 1 #AxieInfinity $axs 
 2 #CurveDAO $crv 
 3 #Aave $aave 
 4 #Ape $ape 

out of Top coins

Do not FOMO","['USDT', 'TerraLunaClassic', 'Helium', 'THORChain', 'Aave', 'alts', 'AxieInfinity', 'CurveDAO', 'Aave', 'Ape']"
37,2022-05-30 20:00:26+00:00,"🔥 WARM REPORT 🔥

🕓 24h VARIATION: 
#AAVE +20.99% | Price : 113.92$
#RUNE +21.44% | Price : 3.191$
#HNT +28.07% | Price : 9.264$
#WAVES +65.9% | Price : 7.149$","['AAVE', 'RUNE', 'HNT', 'WAVES']"
38,2022-05-30 19:55:00+00:00,"↑ Aave V2 Borrow APY for USDC on Polygon is 2.67%. It was previously 2.62%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
39,2022-05-30 19:55:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.41%. It was previously 1.36%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
40,2022-05-30 19:40:00+00:00,"↓ Aave V2 Deposit APY for USDC on Polygon is 1.36%. It was previously 1.37%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
41,2022-05-30 19:30:09+00:00,"🔝 Top gainers of the last hour (Out of Top 100) 📈

🥇 #WAVES $7.2538 📈 3.35826693% 
🥈 #AAVE $112.8767 📈 2.9955747% 
🥉 #GMT $1.2163 📈 1.89434559% 
4️⃣  #CRV $1.3436 📈 1.23129187% 
5️⃣  #AXS $20.5054 📈 1.18031461%

Trade #crypto on Binance https://t.co/YF3WzpbYc1","['WAVES', 'AAVE', 'GMT', 'CRV', 'AXS', 'crypto']"
42,2022-05-30 19:25:00+00:00,"↓ Aave V2 Deposit APY for USDC on Polygon is 1.37%. It was previously 1.42%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
43,2022-05-30 19:25:00+00:00,"↓ Aave V2 Borrow APY for USDC on Polygon is 2.62%. It was previously 2.67%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
44,2022-05-30 19:22:22+00:00,"BTC, ETH, XTZ, KCS, AAVE: https://t.co/f9gi2L49am 
#topcryptonews #btc #eth #xtz #KCS #AAVE #altcoin #cryptocurrency #blockchains #bitcoinnews https://t.co/jhGm0pZ2Q9","['topcryptonews', 'btc', 'eth', 'xtz', 'KCS', 'AAVE', 'altcoin', 'cryptocurrency', 'blockchains', 'bitcoinnews']"
45,2022-05-30 19:10:03+00:00,AAVE price prediction after crossing an important resistance https://t.co/9zx6GZfdlv  #aave #price #rose 👇👇,"['aave', 'price', 'rose']"
46,2022-05-30 19:03:02+00:00,"Strongest Movers in #USDT
 1 #TerraLunaClassic $lunc 🚀
 2 #Helium $hnt 🔥
 3 #SynthetixNetworkToken $snx 
 4 #THORChain $rune 

Strengthening #alts
 1 #SafeMoon $sfm 🚀
 2 #Aave $aave 
 3 #GateToken $gt 

out of Top coins

Do not FOMO","['USDT', 'TerraLunaClassic', 'Helium', 'SynthetixNetworkToken', 'THORChain', 'alts', 'SafeMoon', 'Aave', 'GateToken']"
47,2022-05-30 19:00:48+00:00,"🚨🚨🚨🚨🚨 #Crypto Price Alert!! 🚨🚨🚨🚨🚨 

$AAVE has increased by 2.44363% in the past hour🚀🚀 

Moon now?? Follow to stay updated #AAVE","['Crypto', 'AAVE']"
48,2022-05-30 19:00:18+00:00,"🔥 WARM REPORT 🔥

🕓 24h VARIATION: 
#AAVE +18.36% | Price : 112.1$
#RUNE +19.58% | Price : 3.189$
#HNT +28.81% | Price : 9.347$
#WAVES +61.52% | Price : 7.032$","['AAVE', 'RUNE', 'HNT', 'WAVES']"
49,2022-05-30 18:51:03+00:00,"AAVE price prediction after crossing an important resistance
#AAVE #RES 

https://t.co/G1J0zmu9S1","['AAVE', 'RES']"
50,2022-05-30 18:49:58+00:00,#aave #criptoseñales sumate!!! https://t.co/N0iTkfuT8m,"['aave', 'criptoseñales']"
51,2022-05-30 18:43:54+00:00,"$AAVE 🤑🤑🔥🔥🚀

https://t.co/JbjQZ7qwlS

#AAVE #BTC #BitcoinCrash #BITCOIN #Etherum https://t.co/dnpNdjfjo7","['AAVE', 'BTC', 'BitcoinCrash', 'BITCOIN', 'Etherum']"
52,2022-05-30 18:38:12+00:00,"$AAVE volume boost!
60 times the average volume in #AAVE to #BTC pair (Binance) 😯
Net 1 min volume: +1.356 BTC  #crypto
24h Vol: 105.76 BTC https://t.co/sOquDURdRj","['AAVE', 'BTC', 'crypto']"
53,2022-05-30 17:49:23+00:00,"🚄 #WAVES and 11 Others,  🟢 8 🔴 4

🇰🇷 36.27억원
🇺🇸 $3,103,986
🇯🇵 ¥340,936,761
🇪🇺 €2,627,148
🇨🇳 20,038,486元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #SAND #AXS #AAVE #MLK #NEAR #XRP #LSK https://t.co/Nd7CXilr31","['WAVES', 'WAVES', 'SAND', 'AXS', 'AAVE', 'MLK', 'NEAR', 'XRP', 'LSK']"
54,2022-05-30 17:35:08+00:00,"🚄 #WAVES and 13 Others,  🟢 6 🔴 8

🇰🇷 48.97억원
🇺🇸 $4,190,287
🇯🇵 ¥460,254,204
🇪🇺 €3,546,570
🇨🇳 27,051,343元

🎉Upflow volume Now, Upbit(Korea)
#WAVES #XRP #AAVE #AVAX #SSX #MFT https://t.co/KxWruDNJU4","['WAVES', 'WAVES', 'XRP', 'AAVE', 'AVAX', 'SSX', 'MFT']"
55,2022-05-30 17:20:00+00:00,"↑ Aave V2 Deposit APY for DAI on Polygon is 1.19%. It was previously 1.18%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
56,2022-05-30 17:18:02+00:00,"Algo V2 suggesting
$AAVE #Aave
Current Price $109.79
Bullish above $150.61
Short term trend 📈
Possible Bounce to $179.56
within coming weeks/months

Dont use Leverage",['Aave']
57,2022-05-30 17:00:32+00:00,Last 15 days TOP 10 Crypto Market Cap evolution  30 May 2022 #cryptocurrency #KCS #XMR #XEC #AAVE #ETC #KLAY #XTZ #TRX #USDC #LRC https://t.co/6qcmvHBdJs,"['cryptocurrency', 'KCS', 'XMR', 'XEC', 'AAVE', 'ETC', 'KLAY', 'XTZ', 'TRX', 'USDC', 'LRC']"
58,2022-05-30 17:00:25+00:00,"🔥 WARM REPORT 🔥

🕓 24h VARIATION: 
#AAVE +15.17% | Price : 110.13$
#RUNE +17.14% | Price : 3.18$
#HNT +23.8% | Price : 8.995$
#WAVES +42.22% | Price : 6.168$","['AAVE', 'RUNE', 'HNT', 'WAVES']"
59,2022-05-30 17:00:01+00:00,"#FTX Futures Liquidated on:
🔴 #ETH-PERP $157,777 @ 1,917.60 
🔴 #BTC-PERP $2,245 @ 30,672 
🔴 #AAVE-PERP $2,184 @ 110.810 
🔴 #GMT-PERP $1,336 @ 1.19600 

#cryptotrading https://t.co/RQMirsHfU6","['FTX', 'ETH', 'BTC', 'AAVE', 'GMT', 'cryptotrading']"
60,2022-05-30 16:55:00+00:00,"↓ Aave V2 Deposit APY for DAI on Polygon is 1.18%. It was previously 1.19%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
61,2022-05-30 16:47:48+00:00,"$AAVE
✅  Increased 3.65% in 4.6 hour(s)
💵 Price - 110.90000000 USDT
⏱️ [30 May] - 16:47:48 UTC
#AAVE #AAVEUSDT #CryptoBOT","['AAVE', 'AAVEUSDT', 'CryptoBOT']"
62,2022-05-30 16:45:03+00:00,"20,000 #WETH (38,298,860.906 USD) transfer from #Aave to unknown wallet 
 
https://t.co/tz1nhWG9y4","['WETH', 'Aave']"
63,2022-05-30 16:34:40+00:00,"#AAVEUSDT Bear Alert!

5X Volume
Price:      109.3
5-min %: 0.0%
Volume:  $727,146
 
#crypto #whale #btc #eth #AAVE $AAVE https://t.co/E47vKG7oIv","['AAVEUSDT', 'crypto', 'whale', 'btc', 'eth', 'AAVE']"
64,2022-05-30 16:30:05+00:00,"🔝 Top gainers of the last hour (Out of Top 100) 📈

🥇 #WAVES $6.2358 📈 6.50138077% 
🥈 #SAND $1.4014 📈 1.78451485% 
🥉 #LRC $0.5438 📈 1.24666476% 
4️⃣  #HNT $8.9621 📈 1.17007844% 
5️⃣  #AAVE $108.8143 📈 0.91246147%

Trade #crypto on FTX https://t.co/mYiDBXeBmw","['WAVES', 'SAND', 'LRC', 'HNT', 'AAVE', 'crypto']"
65,2022-05-30 16:26:56+00:00,"135,000 #AAVE (14,636,272.709 USD) transfer from unknown wallet to unknown wallet 
 
https://t.co/tYVOkiiGH7",['AAVE']
66,2022-05-30 16:25:00+00:00,"↑ Aave V2 Deposit APY for USDT on Polygon is 1.3%. It was previously 1.29%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
67,2022-05-30 16:25:00+00:00,"↑ Aave V2 Borrow APY for USDT on Polygon is 2.56%. It was previously 2.55%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
68,2022-05-30 16:20:01+00:00,"↓ Aave V2 Deposit APY for USDT on Polygon is 1.29%. It was previously 1.3%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
69,2022-05-30 16:20:01+00:00,"↓ Aave V2 Borrow APY for USDT on Polygon is 2.55%. It was previously 2.56%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
70,2022-05-30 16:15:01+00:00,"↑ Aave V2 Borrow APY for DAI on Polygon is 2.6%. It was previously 2.59%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
71,2022-05-30 16:15:00+00:00,"↑ Aave V2 Deposit APY for DAI on Polygon is 1.2%. It was previously 1.18%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
72,2022-05-30 16:15:00+00:00,"↓ Aave V2 Borrow APY for USDT on Polygon is 2.54%. It was previously 2.55%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
73,2022-05-30 16:15:00+00:00,"↓ Aave V2 Deposit APY for USDT on Polygon is 1.28%. It was previously 1.29%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
74,2022-05-30 15:45:37+00:00,"8,384.836 #ETH (15,964,845.006 USD) transfer from unknown wallet to #Aave 
 
https://t.co/MB9yKR05hB","['ETH', 'Aave']"
75,2022-05-30 15:43:03+00:00,"8,057 #ETH (15,359,666.331 USD) transfer from #WrappedEther to #Aave 
 
https://t.co/oZf8nMYa9h","['ETH', 'WrappedEther', 'Aave']"
76,2022-05-30 15:03:02+00:00,"Strongest Movers in #USDT
 1 #Waves $waves 🚀
 2 #Helium $hnt 
 3 #THORChain $rune 
 4 #SynthetixNetworkToken $snx 

Strengthening #alts
 1 #ECOMI $omi 
 2 #NEXO $nexo 
 3 #TokenizeXchange $tkx 
 4 #Aave $aave 

out of Top coins

#BTC #ETH #BNB #SAND","['USDT', 'Waves', 'Helium', 'THORChain', 'SynthetixNetworkToken', 'alts', 'ECOMI', 'NEXO', 'TokenizeXchange', 'Aave', 'BTC', 'ETH', 'BNB', 'SAND']"
77,2022-05-30 15:01:32+00:00,"🚨🚨🚨🚨🚨 #Crypto Price Alert!! 🚨🚨🚨🚨🚨 

$AAVE has increased by 1.52769% in the past hour🚀🚀 

Moon now?? Follow to stay updated #AAVE","['Crypto', 'AAVE']"
78,2022-05-30 15:00:01+00:00,"[CryptoWaves 🔴 OVERBOUGHT Alerts]

🔴 #XLM ($0.14) - ⚡️ RSI: 68.1, 24h 📈: 🔼7.8%
🔴 #BTC ($30511.00) - ⚡️ RSI: 68.8, 24h 📈: 🔼3.9%
🔴 #AAVE ($107.71) - ⚡️ RSI: 69.1, 24h 📈: 🔼13.0%

#cryptoalerts","['XLM', 'BTC', 'AAVE', 'cryptoalerts']"
79,2022-05-30 14:58:06+00:00,"#Crypto Payments Firm Merge Raises $9.5M From #Coinbase Ventures, #Alameda Research #Polygon, #Aave, CEO of #Ledger and Former CEO of #Barclays  and Others

Big #Money Getting ready for Next Bull Run 
https://t.co/3qxUHpQZU2","['Crypto', 'Coinbase', 'Alameda', 'Polygon', 'Aave', 'Ledger', 'Barclays', 'Money']"
80,2022-05-30 14:51:34+00:00,"🚄 #ADA and 14 Others,  🟢 6 🔴 9

🇰🇷 45.52억원
🇺🇸 $3,895,412
🇯🇵 ¥427,865,713
🇪🇺 €3,296,995
🇨🇳 25,147,716元

🎉Upflow volume Now, Upbit(Korea)
#ADA #KNC #AAVE #STPT #MLK #LOOM https://t.co/kTCTkVC0V7","['ADA', 'ADA', 'KNC', 'AAVE', 'STPT', 'MLK', 'LOOM']"
81,2022-05-30 14:50:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.41%. It was previously 1.4%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
82,2022-05-30 14:40:53+00:00,"🚨 VOLATILITY ALERT - #AAVE - 5m 🚨
@AaveAave https://t.co/1I2fL07k1v",['AAVE']
83,2022-05-30 14:27:08+00:00,"💰17,000 #AAVE (1,815,930 USD) move from unknown wallet to unknown wallet
 
Date : 2022-05-30 14:25:49 (GMT 0)
Blockchain : #ETHEREUM
Symbol : #AAVE
 
Detail: https://t.co/xDJUpM0LNU","['AAVE', 'ETHEREUM', 'AAVE']"
84,2022-05-30 14:18:02+00:00,"Algo V2 suggesting
$AAVE #Aave
Current Price $106.38
Bullish above $150.61
Short term trend 📈
Possible Bounce to $179.56
within coming weeks/months

Dont use Leverage",['Aave']
85,2022-05-30 14:15:00+00:00,"↑ Aave V2 Borrow APY for DAI on Polygon is 2.61%. It was previously 2.6%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
86,2022-05-30 14:09:47+00:00,These 3 #Altcoins Are Leading The #Crypto Market Recovery #EGLD #Elrond #AAVE #ADA  #Cardano #DeFi https://t.co/6i3L3IU6mB,"['Altcoins', 'Crypto', 'EGLD', 'Elrond', 'AAVE', 'ADA', 'Cardano', 'DeFi']"
87,2022-05-30 14:04:34+00:00,"Top 5 cryptocurrencies to watch this week: #BTC, #ETH, #XTZ, #KCS, #AAVE https://t.co/8h2ep32KO6 #Markets #Bitcoin #Ethereum #Tezos #KuCoinToken | @cointelegraph","['BTC', 'ETH', 'XTZ', 'KCS', 'AAVE', 'Markets', 'Bitcoin', 'Ethereum', 'Tezos', 'KuCoinToken']"
88,2022-05-30 14:04:02+00:00,These Altcoins Are Leading A Recent Crypto Market Recovery https://t.co/ZOvT5pCmtl #AAVE #ADA #EGLD,"['AAVE', 'ADA', 'EGLD']"
89,2022-05-30 13:59:02+00:00,Aave price analysis: Price up again as bullish momentum inflates to  $102.81 https://t.co/nREvjFGAvL #AAVE,['AAVE']
90,2022-05-30 13:36:21+00:00,"@deaftrader1 Yeah, bro. Thank god that @Netcoins here in Canada Now provide these coin #AAVE, now I am waiting for the nuke around 60 that's a good hold for sure.",['AAVE']
91,2022-05-30 13:30:00+00:00,"↓ Aave V2 Deposit APY for DAI on Polygon is 1.19%. It was previously 1.2%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
92,2022-05-30 13:30:00+00:00,"↓ Aave V2 Borrow APY for DAI on Polygon is 2.59%. It was previously 2.61%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
93,2022-05-30 13:15:00+00:00,"↓ Aave V2 Borrow APY for DAI on Polygon is 2.58%. It was previously 2.59%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
94,2022-05-30 13:15:00+00:00,"↓ Aave V2 Deposit APY for DAI on Polygon is 1.17%. It was previously 1.19%. 
#defiratealert  #Aave  #DAI  #Polygon","['defiratealert', 'Aave', 'DAI', 'Polygon']"
95,2022-05-30 13:10:53+00:00,"Going Live in 5 minutes on @tradingview with @CryptoVikingSWE and @MrAnderson0001 
TA Session - $BTC at the Top of the Range - Fakeout or Breakout?

https://t.co/V6s47znNql

#BTC #ETH #DXY #AAVE #LUNC","['BTC', 'ETH', 'DXY', 'AAVE', 'LUNC']"
